mOTU	kingdom	phylum	class	order	family	genus	species
OTU6860	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6861	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__unknown_Prevotella
OTU6862	k__Bacteria	p__Actinobacteria	c__unknown_Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__unknown_Actinobacteria
OTU6863	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. CAG:632
OTU6864	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas	s__unknown_Pseudomonas
OTU6865	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pasteurellales	f__Pasteurellaceae	g__unknown_Pasteurellaceae	s__unknown_Pasteurellaceae
OTU6866	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6867	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6868	k__Bacteria	p__Bacteroidetes	c__Cytophagia	o__Cytophagales	f__Flammeovirgaceae	g__unknown_Flammeovirgaceae	s__unknown_Flammeovirgaceae
OTU6869	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU6870	k__Bacteria	p__Firmicutes	c__unknown_Firmicutes	o__unknown_Firmicutes	f__unknown_Firmicutes	g__unknown_Firmicutes	s__unknown_Firmicutes
OTU6871	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__SAR86 cluster bacterium SAR86A
OTU6872	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU6873	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__unknown_Flavobacteriaceae	s__unknown_Flavobacteriaceae
OTU6874	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6875	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Roseburia	s__Roseburia sp. 40_7
OTU6876	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6877	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6878	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6879	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6880	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6881	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU6882	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6883	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6884	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6885	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6886	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__Planctomycetaceae	g__unknown_Planctomycetaceae	s__unknown_Planctomycetaceae
OTU6887	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__Anaerotruncus	s__Anaerotruncus sp. CAG:390
OTU6888	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__unknown_Flavobacteriaceae	s__unknown_Flavobacteriaceae
OTU6889	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__marine actinobacterium MedAcidi-G2A
OTU6890	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6891	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6892	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. CAG:628
OTU6893	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU6894	k__Bacteria	p__Fusobacteria	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Fusobacterium	s__unknown_Fusobacterium
OTU6895	k__unknown_cellular organisms	p__unknown_cellular organisms	c__unknown_cellular organisms	o__unknown_cellular organisms	f__unknown_cellular organisms	g__unknown_cellular organisms	s__unknown_cellular organisms
OTU6896	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__unknown_Flavobacteriaceae	s__unknown_Flavobacteriaceae
OTU6897	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6898	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6899	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__unknown_Flavobacteriaceae	s__unknown_Flavobacteriaceae
OTU6900	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__unknown_Betaproteobacteria	f__unknown_Betaproteobacteria	g__unknown_Betaproteobacteria	s__unknown_Betaproteobacteria
OTU6901	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6902	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6903	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6904	k__Bacteria	p__Chloroflexi	c__unknown_Chloroflexi	o__unknown_Chloroflexi	f__unknown_Chloroflexi	g__unknown_Chloroflexi	s__unknown_Chloroflexi
OTU6905	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__unknown_Ruminococcaceae	s__unknown_Ruminococcaceae
OTU6906	k__Bacteria	p__Firmicutes	c__unknown_Firmicutes	o__unknown_Firmicutes	f__unknown_Firmicutes	g__unknown_Firmicutes	s__unknown_Firmicutes
OTU6907	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Sutterellaceae	g__Sutterella	s__Sutterella parvirubra
OTU6908	k__Bacteria	p__Proteobacteria	c__Deltaproteobacteria	o__Desulfovibrionales	f__Desulfovibrionaceae	g__Desulfovibrio	s__Desulfovibrio sp. An276
OTU6909	k__Bacteria	p__Firmicutes	c__unknown_Firmicutes	o__unknown_Firmicutes	f__unknown_Firmicutes	g__unknown_Firmicutes	s__unknown_Firmicutes
OTU6910	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Acidaminococcales	f__Acidaminococcaceae	g__Acidaminococcus	s__unknown_Acidaminococcus
OTU6911	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__unknown_Prevotella
OTU6912	k__Bacteria	p__Planctomycetes	c__Planctomycetia	o__Planctomycetales	f__unknown_Planctomycetales	g__unknown_Planctomycetales	s__unknown_Planctomycetales
OTU6913	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU6914	k__Bacteria	p__Bacteroidetes	c__unknown_Bacteroidetes	o__unknown_Bacteroidetes	f__unknown_Bacteroidetes	g__unknown_Bacteroidetes	s__unknown_Bacteroidetes
OTU6915	k__Bacteria	p__Firmicutes	c__Negativicutes	o__Veillonellales	f__Veillonellaceae	g__unknown_Veillonellaceae	s__unknown_Veillonellaceae
OTU6916	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6917	k__Bacteria	p__Proteobacteria	c__unknown_Proteobacteria	o__unknown_Proteobacteria	f__unknown_Proteobacteria	g__unknown_Proteobacteria	s__unknown_Proteobacteria
OTU6918	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__marine actinobacterium MedAcidi-G2A
OTU6919	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__unknown_Pelagibacteraceae	s__unknown_Pelagibacteraceae
OTU6920	k__Bacteria	p__Chloroflexi	c__unknown_Chloroflexi	o__unknown_Chloroflexi	f__unknown_Chloroflexi	g__unknown_Chloroflexi	s__unknown_Chloroflexi
OTU6921	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__marine actinobacterium MedAcidi-G3
OTU6922	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__unknown_Peptostreptococcaceae	s__unknown_Peptostreptococcaceae
OTU6923	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6924	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6925	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6926	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6927	k__Bacteria	p__Proteobacteria	c__unknown_Proteobacteria	o__unknown_Proteobacteria	f__unknown_Proteobacteria	g__unknown_Proteobacteria	s__unknown_Proteobacteria
OTU6928	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__unknown_Cryomorphaceae	s__unknown_Cryomorphaceae
OTU6929	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6930	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU6931	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Cryomorphaceae	g__unknown_Cryomorphaceae	s__unknown_Cryomorphaceae
OTU6932	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6933	k__Bacteria	p__candidatus Saccharibacteria	c__unknown_candidatus Saccharibacteria	o__unknown_candidatus Saccharibacteria	f__unknown_candidatus Saccharibacteria	g__unknown_candidatus Saccharibacteria	s__candidatus Saccharibacteria oral taxon TM7x
OTU6934	k__unknown_cellular organisms	p__unknown_cellular organisms	c__unknown_cellular organisms	o__unknown_cellular organisms	f__unknown_cellular organisms	g__unknown_cellular organisms	s__unknown_cellular organisms
OTU6935	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU6936	k__Bacteria	p__Firmicutes	c__unknown_Firmicutes	o__unknown_Firmicutes	f__unknown_Firmicutes	g__unknown_Firmicutes	s__unknown_Firmicutes
OTU6937	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__unknown_Lachnospiraceae	s__unknown_Lachnospiraceae
OTU6938	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella sp. CAG:279
OTU6939	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU6940	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6941	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6942	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Alcaligenaceae	g__unknown_Alcaligenaceae	s__unknown_Alcaligenaceae
OTU6943	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__SAR86 cluster bacterium SAR86A
OTU6944	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU6945	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6946	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__Staphylococcus sp. CAG:324
OTU6947	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__unknown_Lachnospiraceae	s__unknown_Lachnospiraceae
OTU6948	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Eubacteriaceae	g__Eubacterium	s__Eubacterium coprostanoligenes
OTU6949	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6950	k__Bacteria	p__Cyanobacteria	c__unknown_Cyanobacteria	o__Synechococcales	f__unknown_Synechococcales	g__unknown_Synechococcales	s__unknown_Synechococcales
OTU6951	k__Bacteria	p__Bacteroidetes	c__unknown_Bacteroidetes	o__unknown_Bacteroidetes	f__unknown_Bacteroidetes	g__unknown_Bacteroidetes	s__unknown_Bacteroidetes
OTU6952	k__Bacteria	p__Actinobacteria	c__unknown_Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__unknown_Actinobacteria
OTU6953	k__Bacteria	p__Verrucomicrobia	c__Opitutae	o__unknown_Opitutae	f__unknown_Opitutae	g__unknown_Opitutae	s__unknown_Opitutae
OTU6954	k__Bacteria	p__Firmicutes	c__unknown_Firmicutes	o__unknown_Firmicutes	f__unknown_Firmicutes	g__unknown_Firmicutes	s__unknown_Firmicutes
OTU6955	k__Bacteria	p__Bacteroidetes	c__unknown_Bacteroidetes	o__unknown_Bacteroidetes	f__unknown_Bacteroidetes	g__unknown_Bacteroidetes	s__unknown_Bacteroidetes
OTU6956	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__SAR86 cluster bacterium SAR86A
OTU6957	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6958	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6959	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6960	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__unknown_Actinobacteria
OTU6961	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6962	k__Bacteria	p__candidatus Saccharibacteria	c__unknown_candidatus Saccharibacteria	o__unknown_candidatus Saccharibacteria	f__unknown_candidatus Saccharibacteria	g__unknown_candidatus Saccharibacteria	s__candidatus Saccharibacteria oral taxon TM7x
OTU6963	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6964	k__Bacteria	p__Proteobacteria	c__Betaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Limnobacter	s__unknown_Limnobacter
OTU6965	k__Bacteria	p__Verrucomicrobia	c__Verrucomicrobiae	o__Verrucomicrobiales	f__unknown_Verrucomicrobiales	g__unknown_Verrucomicrobiales	s__unknown_Verrucomicrobiales
OTU6966	k__Bacteria	p__Actinobacteria	c__unknown_Actinobacteria	o__unknown_Actinobacteria	f__unknown_Actinobacteria	g__unknown_Actinobacteria	s__unknown_Actinobacteria
OTU6967	k__Bacteria	p__Acidobacteria	c__unknown_Acidobacteria	o__unknown_Acidobacteria	f__unknown_Acidobacteria	g__unknown_Acidobacteria	s__unknown_Acidobacteria
OTU6968	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__unknown_Prevotella
OTU6969	k__Bacteria	p__Actinobacteria	c__Actinobacteria	o__candidatus Actinomarinales	f__candidatus Actinomarinaceae	g__candidatus Actinomarina	s__candidatus Actinomarina minuta
OTU6970	k__Bacteria	p__candidatus Saccharibacteria	c__unknown_candidatus Saccharibacteria	o__unknown_candidatus Saccharibacteria	f__unknown_candidatus Saccharibacteria	g__unknown_candidatus Saccharibacteria	s__unknown_candidatus Saccharibacteria
OTU6971	k__Bacteria	p__Verrucomicrobia	c__unknown_Verrucomicrobia	o__unknown_Verrucomicrobia	f__unknown_Verrucomicrobia	g__unknown_Verrucomicrobia	s__unknown_Verrucomicrobia
OTU6972	k__Bacteria	p__Verrucomicrobia	c__unknown_Verrucomicrobia	o__unknown_Verrucomicrobia	f__unknown_Verrucomicrobia	g__unknown_Verrucomicrobia	s__unknown_Verrucomicrobia
OTU6973	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6974	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6975	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6976	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6977	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6978	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__Prevotella sp. CAG:924
OTU6979	k__Bacteria	p__Lentisphaerae	c__unknown_Lentisphaerae	o__unknown_Lentisphaerae	f__unknown_Lentisphaerae	g__unknown_Lentisphaerae	s__unknown_Lentisphaerae
OTU6980	k__Bacteria	p__candidatus Saccharibacteria	c__unknown_candidatus Saccharibacteria	o__unknown_candidatus Saccharibacteria	f__unknown_candidatus Saccharibacteria	g__unknown_candidatus Saccharibacteria	s__candidatus Saccharibacteria oral taxon TM7x
OTU6981	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6982	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6983	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6984	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6985	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6986	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6987	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6988	k__Bacteria	p__Bacteroidetes	c__Flavobacteriia	o__Flavobacteriales	f__Flavobacteriaceae	g__unknown_Flavobacteriaceae	s__unknown_Flavobacteriaceae
OTU6989	k__Bacteria	p__Synergistetes	c__Synergistia	o__Synergistales	f__Synergistaceae	g__unknown_Synergistaceae	s__unknown_Synergistaceae
OTU6990	k__Bacteria	p__Chloroflexi	c__unknown_Chloroflexi	o__unknown_Chloroflexi	f__unknown_Chloroflexi	g__unknown_Chloroflexi	s__unknown_Chloroflexi
OTU6991	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU6992	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__unknown_Clostridium
OTU6993	k__Bacteria	p__Chloroflexi	c__Dehalococcoidia	o__Dehalococcoidales	f__unknown_Dehalococcoidales	g__unknown_Dehalococcoidales	s__unknown_Dehalococcoidales
OTU6994	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU6995	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU6996	k__Archaea	p__Euryarchaeota	c__unknown_Euryarchaeota	o__unknown_Euryarchaeota	f__unknown_Euryarchaeota	g__unknown_Euryarchaeota	s__unknown_Euryarchaeota
OTU6997	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU6998	k__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Eggerthellales	f__Eggerthellaceae	g__Eggerthella	s__unknown_Eggerthella
OTU6999	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU7000	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Pelagibacterales	f__Pelagibacteraceae	g__unknown_Pelagibacteraceae	s__alpha proteobacterium HIMB59
OTU7001	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU7002	k__Bacteria	p__unknown_Bacteria	c__unknown_Bacteria	o__unknown_Bacteria	f__unknown_Bacteria	g__unknown_Bacteria	s__unknown_Bacteria
OTU7003	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium sp. CAG:273
OTU7004	k__Bacteria	p__Chloroflexi	c__unknown_Chloroflexi	o__unknown_Chloroflexi	f__unknown_Chloroflexi	g__unknown_Chloroflexi	s__unknown_Chloroflexi
OTU7005	k__Bacteria	p__Proteobacteria	c__unknown_Proteobacteria	o__unknown_Proteobacteria	f__unknown_Proteobacteria	g__unknown_Proteobacteria	s__unknown_Proteobacteria
OTU7006	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unknown_Gammaproteobacteria	f__unknown_Gammaproteobacteria	g__unknown_Gammaproteobacteria	s__unknown_Gammaproteobacteria
OTU7007	k__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Moraxellaceae	g__Acinetobacter	s__unknown_Acinetobacter
OTU7008	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Lachnospiraceae	g__Catonella	s__Catonella morbi
OTU7009	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Peptostreptococcaceae	g__unknown_Peptostreptococcaceae	s__unknown_Peptostreptococcaceae
OTU7010	k__Bacteria	p__Firmicutes	c__Erysipelotrichia	o__Erysipelotrichales	f__Erysipelotrichaceae	g__Massiliomicrobiota	s__unknown_Massiliomicrobiota
OTU7011	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__unknown_Bacteroidales	g__unknown_Bacteroidales	s__unknown_Bacteroidales
OTU7012	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__Ruminococcaceae	g__unknown_Ruminococcaceae	s__unknown_Ruminococcaceae
OTU7013	k__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__unknown_Alphaproteobacteria	f__unknown_Alphaproteobacteria	g__unknown_Alphaproteobacteria	s__unknown_Alphaproteobacteria
OTU7014	k__Bacteria	p__Firmicutes	c__Clostridia	o__Clostridiales	f__unknown_Clostridiales	g__unknown_Clostridiales	s__unknown_Clostridiales
OTU7015	k__Bacteria	p__Bacteroidetes	c__Bacteroidia	o__Bacteroidales	f__Prevotellaceae	g__Prevotella	s__unknown_Prevotella
